manifest	line	declaration	enabled	region	source_symbol	address	payload	conditions	resolved_address	newgold_definition	original_function	target_file	target_line	original_state	target_section	target_start	mapping	category	current_port_state	dependency	validation	map_line	notes
hooks	33	0007 ov07_0221FB7C 0221FB7C 2	True	0007	ov07_0221FB7C	0x0221FB7C	2		0x0221FB7C	src/battle/battle_input.c:916	ov07_0221FB7C	asm/overlay_07.s	8474	ASM	OVY_7	0x0221FB7C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	69456	-
hooks	34	0012 hook_12_spriteOffsetSpecies 08022154 2	True	0012	hook_12_spriteOffsetSpecies	0x08022154	2		0x02259A14	asm/other_hook.s:137	ov12_02259968	asm/overlay_12_battle_controller_opponent.s	2336	ASM	OVY_12	0x02259968	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	82345	-
hooks	35	0012 hook_12_spriteOffsetSpecies_escapeFromBall 02259DBC 2	True	0012	hook_12_spriteOffsetSpecies_escapeFromBall	0x02259DBC	2		0x02259DBC	asm/other_hook.s:158	ov12_02259D48	asm/overlay_12_battle_controller_opponent.s	2806	ASM	OVY_12	0x02259D48	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	82392	-
hooks	36	0012 fix_double_spriteOffsetSpecies 02259C0C 2	True	0012	fix_double_spriteOffsetSpecies	0x02259C0C	2		0x02259C0C	asm/other_hook.s:179	ov12_02259BA8	asm/overlay_12_battle_controller_opponent.s	2606	ASM	OVY_12	0x02259BA8	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	82373	-
hooks	37	0012 Battle_End 08000B90 1	True	0012	Battle_End	0x08000B90	1		0x02238450	asm/battle/battle_hooks.s:26	ov12_0223843C	asm/overlay_12_022378C0.s	817	ASM	OVY_12	0x0223843C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	79632	-
hooks	38	0012 TryRevertFormChange_hook 080069AC 2	True	0012	TryRevertFormChange_hook	0x080069AC	2		0x0223E26C	asm/battle/battle_hooks.s:10	BtlCmd_TryFaintMon	src/battle/battle_command.c	978	C	OVY_12	0x0223E22C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	80699	-
hooks	39	0012 CheckCanTakeItem 02241334 0	True	0012	CheckCanTakeItem	0x02241334	0		0x02241334	asm/battle/battle_hooks.s:96	BtlCmd_TryStealItem	src/battle/battle_command.c	3088	C	OVY_12	0x02241290	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	80885	-
hooks	42	arm9 GetItemIndex 08077C18 2	True	arm9	GetItemIndex	0x08077C18	2		0x02077C18	src/item.c:414	GetItemIndexMapping	src/item.c	706	C	main	0x02077C18	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	38098	-
hooks	43	arm9 GetItemNarcData 08077CE8 3	True	arm9	GetItemNarcData	0x08077CE8	3		0x02077CE8	src/item.c:459	LoadItemDataOrGfx	src/item.c	759	C	main	0x02077CE8	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	38108	-
hooks	46	arm9 GetPokemonOwNum 0206A304 1	True	arm9	GetPokemonOwNum	0x0206A304	1		0x0206A304	src/pokemon.c:376	SpeciesToOverworldModelIndexOffset	src/follow_mon.c	1997	C	main	0x0206A304	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36293	-
hooks	47	arm9 GetMonIconPalette 02074364 3	True	arm9	GetMonIconPalette	0x02074364	3		0x02074364	src/pokemon.c:363	GetMonIconPaletteEx	src/pokemon_icon_idx.c	650	C	main	0x02074364	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	37116	-
hooks	48	arm9 sub_02097F6C 02097F6C 3	True	arm9	sub_02097F6C	0x02097F6C	3		0x02097F6C	src/swarms.c:36	sub_02097F6C	src/unk_02097F6C.c	39	C	main	0x02097F6C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	43951	-
hooks	49	arm9 GetSwarmInfoFromRand 02097F9C 3	True	arm9	GetSwarmInfoFromRand	0x02097F9C	3		0x02097F9C	src/swarms.c:49	GetSwarmInfoFromRand	src/unk_02097F6C.c	49	C	main	0x02097F9C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	43954	-
hooks	52	arm9 GetBoxMonData_EditedCases_hook 0206E6E0 3	True	arm9	GetBoxMonData_EditedCases_hook	0x0206E6E0	3		0x0206E6E0	asm/other_hook.s:706	GetBoxMonDataInternal	src/pokemon.c	481	C	main	0x0206E6A0	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36605	-
hooks	53	arm9 SetBoxMonData_EditedCases_hook 0206EE28 0	True	arm9	SetBoxMonData_EditedCases_hook	0x0206EE28	0		0x0206EE28	asm/other_hook.s:744	SetBoxMonDataInternal	src/pokemon.c	972	C	main	0x0206EDE8	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36615	-
hooks	54	arm9 AddBoxMonData_EditedCases_hook 0206F67C 0	True	arm9	AddBoxMonData_EditedCases_hook	0x0206F67C	0		0x0206F67C	asm/other_hook.s:771	AddBoxMonDataInternal	src/pokemon.c	1402	C	main	0x0206F640	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36624	-
hooks	58	0002 get_form_out_of_encounter_species_rare 02247910 4	True	0002	get_form_out_of_encounter_species_rare	0x02247910	4		0x02247910	asm/other_hook.s:51	generateWildShinyAndAddToParty	src/field/encounter_check.c	766	C	OVY_2	0x02247910	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	63958	-
hooks	60	0002 modify_species_encounter_data_rare 02247A00 1	True	0002	modify_species_encounter_data_rare	0x02247A00	1		0x02247A00	asm/other_hook.s:81	generateWildShinyAndAddToParty	src/field/encounter_check.c	766	C	OVY_2	0x02247910	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	63958	-
hooks	62	0002 get_form_out_of_encounter_species 02247A1C 4	True	0002	get_form_out_of_encounter_species	0x02247A1C	4		0x02247A1C	asm/other_hook.s:206	generateWildNonShinyAndAddToParty	src/field/encounter_check.c	822	C	OVY_2	0x02247A18	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	63960	-
hooks	64	0002 modify_species_encounter_data 02247B42 3	True	0002	modify_species_encounter_data	0x02247B42	3		0x02247B42	asm/other_hook.s:238	generateWildNonShinyAndAddToParty	src/field/encounter_check.c	822	C	OVY_2	0x02247A18	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	63960	-
hooks	66	arm9 set_starter_hidden_ability_hook 02096158 5	True	arm9	set_starter_hidden_ability_hook	0x02096158	5		0x02096158	asm/general_hooks.s:6	CreateStarter	src/choose_starter.c	28	C	main	0x0209602C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	43376	-
hooks	67	arm9 CreateStarter_SetStarterSpecies_hook 02096094 3	True	arm9	CreateStarter_SetStarterSpecies_hook	0x02096094	3		0x02096094	asm/other_hook.s:852	CreateStarter	src/choose_starter.c	28	C	main	0x0209602C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	43376	-
hooks	68	arm9 CreateStarterMon_hook 020960E6 1	True	arm9	CreateStarterMon_hook	0x020960E6	1		0x020960E6	asm/other_hook.s:871	CreateStarter	src/choose_starter.c	28	C	main	0x0209602C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	43376	-
hooks	69	0061 CreateMonSprites_hook 021E7098 3	True	0061	CreateMonSprites_hook	0x021E7098	3		0x021E7098	asm/other_hook.s:887	createMonSprites	src/choose_starter_app.c	1166	C	OVY_61	0x021E6FC4	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	136344	-
hooks	72	0012 CalcBaseDamage 02256FF8	True	0012	CalcBaseDamage	0x02256FF8			0x02256FF8	src/battle/battle_calc_damage.c:24;src/individual/CalcBaseDamage.c:18	CalcMoveDamage	src/battle/overlay_12_0224E4FC.c	5537	C	OVY_12	0x02256FF8	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81853	-
hooks	73	0012 CalcDamageOverall 0223DCE0 2	True	0012	CalcDamageOverall	0x0223DCE0	2		0x0223DCE0	src/battle/battle_calc_damage.c:227	DamageCalcDefault	src/battle/battle_command.c	747	C	OVY_12	0x0223DCE0	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	80663	-
hooks	74	0012 AdjustDamageForRoll 02257C30 3	True	0012	AdjustDamageForRoll	0x02257C30	3		0x02257C30	src/battle/battle_calc_damage.c:994	ApplyDamageRange	src/battle/overlay_12_0224E4FC.c	5949	C	OVY_12	0x02257C30	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81860	-
hooks	76	0012 MoveCheckDamageNegatingAbilities 0801B608 3	True	0012	MoveCheckDamageNegatingAbilities	0x0801B608	3		0x02252EC8	src/battle/ability.c:41	BattleContext_CheckMoveImmunityFromAbility	src/battle/overlay_12_0224E4FC.c	3017	C	OVY_12	0x02252EC8	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81729	-
hooks	78	0012 SwitchInAbilityCheck 0801B8D4 2	True	0012	SwitchInAbilityCheck	0x0801B8D4	2		0x02253194	src/battle/ability.c:216;src/individual/SwitchInAbilityCheck.c:32	TryAbilityOnEntry	src/battle/overlay_12_0224E4FC.c	3132	C	OVY_12	0x02253194	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81736	-
hooks	83	0012 MoveHitDefenderAbilityCheck 0801C544 3	True	0012	MoveHitDefenderAbilityCheck	0x0801C544	3		0x02253E04	src/battle/ability.c:510;src/battle/ability.c:866;src/battle/ability.c:956;src/individual/ServerDoPostMoveEffects.c:2348	CheckAbilityEffectOnHit	src/battle/overlay_12_0224E4FC.c	3577	C	OVY_12	0x02253E04	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81749	-
hooks	84	0012 CalcAccuracy 0224BCC4	True	0012	CalcAccuracy	0x0224BCC4			0x0224BCC4	src/battle/other_battle_calculators.c:806	BattleSystem_CheckMoveHit	src/battle/battle_controller_player.c	2415	C	OVY_12	0x0224BCC4	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81415	-
hooks	85	0012 CalcSpeed 0224FC48	True	0012	CalcSpeed	0x0224FC48			0x0224FC48	src/battle/other_battle_calculators.c:1083;src/battle/other_battle_calculators.c:1605;src/battle/other_battle_calculators.c:1622;src/individual/CalcBaseDamage.c:723	CheckSortSpeed	src/battle/overlay_12_0224E4FC.c	963	C	OVY_12	0x0224FC48	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81569	-
hooks	86	0012 CalcCritical 02257C5C	True	0012	CalcCritical	0x02257C5C			0x02257C5C	src/battle/other_battle_calculators.c:1728	TryCriticalHit	src/battle/overlay_12_0224E4FC.c	5964	C	OVY_12	0x02257C5C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81863	-
hooks	88	0012 GetBattleMonItem 0801DD2C 2	True	0012	GetBattleMonItem	0x0801DD2C	2		0x022555EC	src/battle/battle_calc_damage.c:199;src/battle/battle_script_commands.c:1909;src/battle/other_battle_calculators.c:2917;src/individual/SwitchInAbilityCheck.c:909	GetBattlerHeldItem	src/battle/overlay_12_0224E4FC.c	4505	C	OVY_12	0x022555EC	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81780	-
hooks	89	0012 MoldBreakerAbilityCheck 02252834	True	0012	MoldBreakerAbilityCheck	0x02252834			0x02252834	src/battle/ability.c:58;src/battle/ability.c:66;src/battle/ability.c:76;src/battle/ability.c:85;src/battle/ability.c:95;src/battle/ability.c:103;src/battle/ability.c:110;src/battle/ability.c:120;src/battle/ability.c:127;src/battle/ability.c:139;src/battle/ability.c:146;src/battle/ability.c:153;src/battle/ability.c:163;src/battle/ability.c:174;src/battle/ability.c:184;src/battle/ability.c:197;src/battle/ability.c:573;src/battle/battle_calc_damage.c:702;src/battle/battle_calc_damage.c:728;src/battle/battle_calc_damage.c:751;src/battle/battle_calc_damage.c:763;src/battle/battle_calc_damage.c:775;src/battle/battle_calc_damage.c:788;src/battle/battle_script_commands.c:1634;src/battle/battle_script_commands.c:1859;src/battle/battle_script_commands.c:1902;src/battle/battle_script_commands.c:1970;src/battle/battle_script_commands.c:4029;src/battle/battle_script_commands.c:4129;src/battle/battle_script_commands.c:5661;src/battle/other_battle_calculators.c:857;src/battle/other_battle_calculators.c:893;src/battle/other_battle_calculators.c:912;src/battle/other_battle_calculators.c:920;src/battle/other_battle_calculators.c:1003;src/battle/other_battle_calculators.c:1009;src/battle/other_battle_calculators.c:1770;src/battle/other_battle_calculators.c:2201;src/individual/BattleController_BeforeMove.c:2829;src/individual/BattleController_BeforeMove.c:2891;src/individual/BattleController_BeforeMove.c:2943;src/individual/BattleController_BeforeMove.c:2980;src/individual/BattleController_BeforeMove.c:3356;src/individual/BattleController_BeforeMove.c:3376;src/individual/BattleController_BeforeMove.c:3457;src/individual/BattleController_BeforeMove.c:3497;src/individual/BattleController_BeforeMove.c:3582;src/individual/BattleController_BeforeMove.c:3609;src/individual/BattleController_BeforeMove.c:3616;src/individual/BattleController_BeforeMove.c:3621;src/individual/BattleController_BeforeMove.c:3626;src/individual/BattleController_BeforeMove.c:3630;src/individual/BattleController_BeforeMove.c:3634;src/individual/BattleController_BeforeMove.c:3638;src/individual/BattleController_BeforeMove.c:3648;src/individual/BattleController_BeforeMove.c:3688;src/individual/BattleController_BeforeMove.c:4590;src/individual/CalcBaseDamage.c:306;src/individual/CalcBaseDamage.c:791;src/individual/CalcBaseDamage.c:1142;src/individual/CalcBaseDamage.c:1435;src/individual/CalcBaseDamage.c:1473;src/individual/CheckDefenderItemEffectOnHit.c:83;src/individual/CheckDefenderItemEffectOnHit.c:113;src/individual/CheckDefenderItemEffectOnHit.c:153;src/individual/CheckDefenderItemEffectOnHit.c:172;src/individual/CheckDefenderItemEffectOnHit.c:189;src/individual/MoveHitDefenderAbilityCheck.c:40;src/individual/MoveHitDefenderAbilityCheck.c:53;src/individual/MoveHitDefenderAbilityCheck.c:149;src/individual/MoveHitDefenderAbilityCheck.c:218;src/individual/MoveHitDefenderAbilityCheck.c:311;src/individual/ServerDoPostMoveEffects.c:1861;src/individual/ServerDoPostMoveEffects.c:1878;src/individual/ServerDoPostMoveEffects.c:1912;src/individual/ServerDoPostMoveEffects.c:2006;src/individual/ServerDoPostMoveEffects.c:2038;src/individual/ServerDoPostMoveEffects.c:2079;src/individual/ServerDoPostMoveEffects.c:2638;src/individual/ServerHPCalc.c:90;src/individual/ServerHPCalc.c:94;src/individual/btl_scr_cmd_33_statbuffchange.c:103;src/individual/btl_scr_cmd_33_statbuffchange.c:107;src/individual/btl_scr_cmd_33_statbuffchange.c:268	CheckBattlerAbilityIfNotIgnored	src/battle/overlay_12_0224E4FC.c	2268	C	OVY_12	0x02252834	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81691	-
hooks	91	0012 SynchroniseAbilityCheck 02254580 3	True	0012	SynchroniseAbilityCheck	0x02254580	3		0x02254580	src/battle/ability.c:586	TrySyncronizeStatus	src/battle/overlay_12_0224E4FC.c	3787	C	OVY_12	0x02254580	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81760	-
hooks	93	0012 BattleFormChangeCheck 0801F054 3	True	0012	BattleFormChangeCheck	0x0801F054	3		0x02256914	src/battle/battle_pokemon.c:229;src/individual/BattleFormChangeCheck.c:25;src/individual/SwitchInAbilityCheck.c:922	Battler_CheckWeatherFormChange	src/battle/overlay_12_0224E4FC.c	3503	C	OVY_12	0x02256914	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81843	-
hooks	95	0012 ServerWazaOutAfterMessage 080151E4 3	True	0012	ServerWazaOutAfterMessage	0x080151E4	3		0x0224CAA4	src/battle/ability.c:779	ov12_0224CAA4	src/battle/battle_controller_player.c	2903	C	OVY_12	0x0224CAA4	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81444	-
hooks	97	0012 ServerFlinchCheck 080167B8 3	True	0012	ServerFlinchCheck	0x080167B8	3		0x0224E078	src/battle/ability.c:706;src/battle/ability.c:877;src/battle/ability.c:974;src/individual/ServerDoPostMoveEffects.c:2236	TryItemFlinch	src/battle/battle_controller_player.c	2957	C	OVY_12	0x0224E078	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81516	-
hooks	99	0012 ServerWazaKoyuuCheck 08014944 2	True	0012	ServerWazaKoyuuCheck	0x08014944	2		0x0224C204	src/battle/ability.c:997	ov12_0224C204	src/battle/battle_controller_player.c	2596	C	OVY_12	0x0224C204	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81421	-
hooks	101	0012 ov12_022506D4 022506D4	True	0012	ov12_022506D4	0x022506D4			0x022506D4	src/battle/other_battle_calculators.c:4508	ov12_022506D4	src/battle/overlay_12_0224E4FC.c	1357	C	OVY_12	0x022506D4	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81586	-
hooks	103	0012 CheckLegalMimicMove 02257D6C 1	True	0012	CheckLegalMimicMove	0x02257D6C	1		0x02257D6C	src/battle/other_battle_calculators.c:4244	CheckLegalMimicMove	src/battle/overlay_12_0224E4FC.c	6028	C	OVY_12	0x02257D6C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81866	-
hooks	104	0012 CheckLegalMetronomeMove 02257DA4 4	True	0012	CheckLegalMetronomeMove	0x02257DA4	4		0x02257DA4	src/battle/battle_script_commands.c:5721;src/battle/other_battle_calculators.c:4258	CheckLegalMetronomeMove	src/battle/overlay_12_0224E4FC.c	6041	C	OVY_12	0x02257DA4	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81869	-
hooks	109	0012 btl_scr_cmd_24_jumptocurmoveeffectscript 08006CA8 3	True	0012	btl_scr_cmd_24_jumptocurmoveeffectscript	0x08006CA8	3		0x0223E568	src/battle/battle_script_commands.c:1018	BtlCmd_GoToEffectScript	src/battle/battle_command.c	1176	C	OVY_12	0x0223E568	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	80718	-
hooks	111	0012 btl_scr_cmd_33_statbuffchange 080074B8 3	True	0012	btl_scr_cmd_33_statbuffchange	0x080074B8	3		0x0223ED78	src/battle/battle_script_commands.c:1603;src/individual/btl_scr_cmd_33_statbuffchange.c:26	BtlCmd_ChangeStatStage	src/battle/battle_command.c	1567	C	OVY_12	0x0223ED78	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	80759	-
hooks	113	0012 btl_scr_cmd_54_ohko_move_handle 08008C20 3	True	0012	btl_scr_cmd_54_ohko_move_handle	0x08008C20	3		0x022404E0	src/battle/battle_script_commands.c:1627	BtlCmd_TryOHKOMove	src/battle/battle_command.c	2619	C	OVY_12	0x022404E0	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	80842	-
hooks	114	0012 CheckMoveIsChargeMove 022525AC 2	True	0012	CheckMoveIsChargeMove	0x022525AC	2		0x022525AC	src/battle/battle_script_commands.c:1685;src/battle/battle_script_commands.c:1733;src/individual/BattleController_BeforeMove.c:1746	BattleCtx_IsIdenticalToCurrentMove	src/battle/overlay_12_0224E4FC.c	2544	C	OVY_12	0x022525AC	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81665	-
