ndex,name,shape
316,Gulpin,4
317,Swalot,4
318,Carvanha,3
319,Sharpedo,3
320,Wailmer,3
321,Wailord,3
322,Numel,8
323,Camerupt,8
324,Torkoal,8
325,Spoink,4
326,Grumpig,6
327,Spinda,6
328,Trapinch,14
329,Vibrava,13
330,Flygon,9
331,Cacnea,12
332,Cacturne,12
333,Swablu,9
334,Altaria,9
335,Zangoose,6
336,Seviper,2
337,Lunatone,1
338,Solrock,1
339,Barboach,3
340,Whiscash,3
341,Corphish,14
342,Crawdaunt,14
343,Baltoy,4
344,Claydol,4
345,Lileep,5
346,Cradily,5
347,Anorith,14
348,Armaldo,6
349,Feebas,3
350,Milotic,2
351,Castform,1
352,Kecleon,6
353,Shuppet,1
354,Banette,6
355,Duskull,4
356,Dusclops,12
357,Tropius,8
358,Chimecho,4
359,Absol,8
360,Wynaut,6
361,Snorunt,12
362,Glalie,1
363,Spheal,3
364,Sealeo,3
365,Walrein,8
366,Clamperl,1
367,Huntail,2
368,Gorebyss,2
369,Relicanth,3
370,Luvdisc,3
371,Bagon,12
372,Shelgon,8
373,Salamence,8
374,Beldum,5
375,Metang,4
376,Metagross,11
377,Regirock,12
378,Regice,12
379,Registeel,12
380,Latias,9
381,Latios,9
382,Kyogre,3
383,Groudon,6
384,Rayquaza,2
385,Jirachi,12
386,Deoxys,12
387,Turtwig,8
388,Grotle,8
389,Torterra,8
390,Chimchar,6
391,Monferno,6
392,Infernape,6
393,Piplup,12
394,Prinplup,6
395,Empoleon,6
396,Starly,9
397,Staravia,9
398,Staraptor,9
399,Bidoof,8
400,Bibarel,6
401,Kricketot,12
402,Kricketune,13
403,Shinx,8
404,Luxio,8
405,Luxray,8
406,Budew,12
407,Roserade,12
408,Cranidos,6
409,Rampardos,6
410,Shieldon,8
411,Bastiodon,8
412,Burmy,5
413,Wormadam,5
414,Mothim,13
415,Combee,11
416,Vespiquen,13
417,Pachirisu,8
418,Buizel,8
419,Floatzel,8
420,Cherubi,11
421,Cherrim,7
422,Shellos,2
423,Gastrodon,2
424,Ambipom,6
425,Drifloon,4
426,Drifblim,4
427,Buneary,6
428,Lopunny,6
429,Mismagius,1
430,Honchkrow,9
431,Glameow,8
432,Purugly,8
433,Chingling,12
434,Stunky,8
435,Skuntank,8
436,Bronzor,1
437,Bronzong,4
438,Bonsly,7
439,Mime Jr.,12
440,Happiny,12
441,Chatot,9
442,Spiritomb,5
443,Gible,6
444,Gabite,6
445,Garchomp,6
446,Munchlax,12
447,Riolu,6
448,Lucario,6
449,Hippopotas,8
450,Hippowdon,8
451,Skorupi,14
452,Drapion,14
453,Croagunk,12
454,Toxicroak,12
455,Carnivine,10
456,Finneon,3
457,Lumineon,3
458,Mantyke,9
459,Snover,6
460,Abomasnow,6
461,Weavile,6
462,Magnezone,4
463,Lickilicky,12
464,Rhyperior,6
465,Tangrowth,12
466,Electivire,6
467,Magmortar,6
468,Togekiss,9
469,Yanmega,13
470,Leafeon,8
471,Glaceon,8
472,Gliscor,9
473,Mamoswine,8
474,Porygon-Z,4
475,Gallade,12
476,Probopass,11
477,Dusknoir,4
478,Froslass,4
479,Rotom,1
480,Uxie,6
481,Mesprit,6
482,Azelf,6
483,Dialga,8
484,Palkia,6
485,Heatran,8
486,Regigigas,12
487,Giratina,10
488,Cresselia,2
489,Phione,4
490,Manaphy,12
491,Darkrai,12
492,Shaymin,8
493,Arceus,8
494,Victini,12
495,Snivy,6
496,Servine,6
497,Serperior,2
498,Tepig,8
499,Pignite,6
500,Emboar,6
501,Oshawott,6
502,Dewott,6
503,Samurott,8
504,Patrat,8
505,Watchog,6
506,Lillipup,8
507,Herdier,8
508,Stoutland,8
509,Purrloin,8
510,Liepard,8
511,Pansage,6
512,Simisage,6
513,Pansear,6
514,Simisear,6
515,Panpour,6
516,Simipour,6
517,Munna,8
518,Musharna,12
519,Pidove,9
520,Tranquill,9
521,Unfezant,9
522,Blitzle,8
523,Zebstrika,8
524,Roggenrola,7
525,Boldore,10
526,Gigalith,10
527,Woobat,9
528,Swoobat,9
529,Drilbur,6
530,Excadrill,12
531,Audino,6
532,Timburr,12
533,Gurdurr,12
534,Conkeldurr,12
535,Tympole,3
536,Palpitoad,6
537,Seismitoad,12
538,Throh,12
539,Sawk,12
540,Sewaddle,14
541,Swadloon,4
542,Leavanny,12
543,Venipede,14
544,Whirlipede,1
545,Scolipede,14
546,Cottonee,1
547,Whimsicott,12
548,Petilil,5
549,Lilligant,5
550,Basculin,3
551,Sandile,8
552,Krokorok,8
553,Krookodile,6
554,Darumaka,12
555,Darmanitan,8
556,Maractus,5
557,Dwebble,14
558,Crustle,14
559,Scraggy,6
560,Scrafty,6
561,Sigilyph,9
562,Yamask,4
563,Cofagrigus,5
564,Tirtouga,8
565,Carracosta,6
566,Archen,9
567,Archeops,9
568,Trubbish,12
569,Garbodor,12
570,Zorua,8
571,Zoroark,6
572,Minccino,8
573,Cinccino,8
574,Gothita,12
575,Gothorita,12
576,Gothitelle,12
577,Solosis,1
578,Duosion,1
579,Reuniclus,4
580,Ducklett,9
581,Swanna,9
582,Vanillite,5
583,Vanillish,5
584,Vanilluxe,11
585,Deerling,8
586,Sawsbuck,8
587,Emolga,8
588,Karrablast,12
589,Escavalier,4
590,Foongus,4
591,Amoonguss,4
592,Frillish,10
593,Jellicent,10
594,Alomomola,3
595,Joltik,14
596,Galvantula,14
597,Ferroseed,1
598,Ferrothorn,10
599,Klink,11
600,Klang,11
601,Klinklang,11
602,Tynamo,3
603,Eelektrik,3
604,Eelektross,3
605,Elgyem,6
606,Beheeyem,12
607,Litwick,5
608,Lampent,4
609,Chandelure,4
610,Axew,6
611,Fraxure,6
612,Haxorus,6
613,Cubchoo,6
614,Beartic,8
615,Cryogonal,1
616,Shelmet,1
617,Accelgor,4
618,Stunfisk,3
619,Mienfoo,6
620,Mienshao,6
621,Druddigon,6
622,Golett,12
623,Golurk,12
624,Pawniard,12
625,Bisharp,12
626,Bouffalant,8
627,Rufflet,9
628,Braviary,9
629,Vullaby,9
630,Mandibuzz,9
631,Heatmor,6
632,Durant,14
633,Deino,8
634,Zweilous,8
635,Hydreigon,6
636,Larvesta,14
637,Volcarona,13
638,Cobalion,8
639,Terrakion,8
640,Virizion,8
641,Tornadus,4
642,Thundurus,4
643,Reshiram,9
644,Zekrom,6
645,Landorus,4
646,Kyurem,6
647,Keldeo,8
648,Meloetta,12
649,Genesect,12
650,Chespin,6
651,Quilladin,6
652,Chesnaught,6
653,Fennekin,8
654,Braixen,6
655,Delphox,6
656,Froakie,8
657,Frogadier,12
658,Greninja,12
659,Bunnelby,6
660,Diggersby,6
661,Fletchling,9
662,Fletchinder,9
663,Talonflame,9
664,Scatterbug,14
665,Spewpa,5
666,Vivillon,13
667,Litleo,8
668,Pyroar,8
669,Flabébé,4
670,Floette,4
671,Florges,4
672,Skiddo,8
673,Gogoat,8
674,Pancham,6
675,Pangoro,12
676,Furfrou,8
677,Espurr,6
678,Meowstic,6
679,Honedge,5
680,Doublade,11
681,Aegislash,5
682,Spritzee,4
683,Aromatisse,12
684,Swirlix,7
685,Slurpuff,12
686,Inkay,10
687,Malamar,5
688,Binacle,11
689,Barbaracle,11
690,Skrelp,5
691,Dragalge,5
692,Clauncher,14
693,Clawitzer,2
694,Helioptile,6
695,Heliolisk,6
696,Tyrunt,6
697,Tyrantrum,6
698,Amaura,8
699,Aurorus,8
700,Sylveon,8
701,Hawlucha,12
702,Dedenne,6
703,Carbink,1
704,Goomy,2
705,Sliggoo,2
706,Goodra,6
707,Klefki,1
708,Phantump,4
709,Trevenant,10
710,Pumpkaboo,1
711,Gourgeist,5
712,Bergmite,8
713,Avalugg,8
714,Noibat,9
715,Noivern,9
716,Xerneas,8
717,Yveltal,9
718,Zygarde,2
719,Diancie,4
720,Hoopa,4
721,Volcanion,8
722,Rowlet,9
723,Dartrix,9
724,Decidueye,9
725,Litten,8
726,Torracat,8
727,Incineroar,6
728,Popplio,3
729,Brionne,3
730,Primarina,3
731,Pikipek,9
732,Trumbeak,9
733,Toucannon,9
734,Yungoos,8
735,Gumshoos,8
736,Grubbin,14
737,Charjabug,2
738,Vikavolt,14
739,Crabrawler,14
740,Crabominable,14
741,Oricorio,9
742,Cutiefly,14
743,Ribombee,13
744,Rockruff,8
745,Lycanroc,8
746,Wishiwashi,3
747,Mareanie,5
748,Toxapex,10
749,Mudbray,8
750,Mudsdale,8
751,Dewpider,7
752,Araquanid,14
753,Fomantis,6
754,Lurantis,12
755,Morelull,5
756,Shiinotic,12
757,Salandit,8
758,Salazzle,8
759,Stufful,8
760,Bewear,6
761,Bounsweet,7
762,Steenee,12
763,Tsareena,12
764,Comfey,1
765,Oranguru,12
766,Passimian,6
767,Wimpod,10
768,Golisopod,12
769,Sandygast,2
770,Palossand,2
771,Pyukumuku,2
772,Type: Null,8
773,Silvally,8
774,Minior,1
775,Komala,12
776,Turtonator,6
777,Togedemaru,6
778,Mimikyu,2
779,Bruxish,3
780,Drampa,2
781,Dhelmise,5
782,Jangmo-o,8
783,Hakamo-o,6
784,Kommo-o,6
785,Tapu Koko,4
786,Tapu Lele,4
787,Tapu Bulu,4
788,Tapu Fini,4
789,Cosmog,1
790,Cosmoem,1
791,Solgaleo,8
792,Lunala,9
793,Nihilego,10
794,Buzzwole,10
795,Pheromosa,12
796,Xurkitree,6
797,Celesteela,12
798,Kartana,12
799,Guzzlord,6
800,Necrozma,4
801,Magearna,12
802,Marshadow,12
803,Poipole,6
804,Naganadel,9
805,Stakataka,8
806,Blacephalon,12
807,Zeraora,12
808,Meltan,1
809,Melmetal,12
810,Grookey,6
811,Thwackey,6
812,Rillaboom,12
813,Scorbunny,6
814,Raboot,6
815,Cinderace,6
816,Sobble,8
817,Drizzile,6
818,Inteleon,6
819,Skwovet,6
820,Greedent,6
821,Rookidee,9
822,Corvisquire,9
823,Corviknight,9
824,Blipbug,14
825,Dottler,14
826,Orbeetle,9
827,Nickit,8
828,Thievul,8
829,Gossifleur,5
830,Eldegoss,5
831,Wooloo,8
832,Dubwool,8
833,Chewtle,8
834,Drednaw,8
835,Yamper,8
836,Boltund,8
837,Rolycoly,1
838,Carkol,7
839,Coalossal,12
840,Applin,2
841,Flapple,9
842,Appletun,8
843,Silicobra,2
844,Sandaconda,2
845,Cramorant,9
846,Arrokuda,3
847,Barraskewda,3
848,Toxel,6
849,Toxtricity,6
850,Sizzlipede,10
851,Centiskorch,10
852,Clobbopus,10
853,Grapploct,10
854,Sinistea,1
855,Polteageist,1
856,Hatenna,7
857,Hattrem,12
858,Hatterene,5
859,Impidimp,12
860,Morgrem,12
861,Grimmsnarl,12
862,Obstagoon,6
863,Perrserker,6
864,Cursola,4
865,Sirfetch'd,9
866,Mr. Rime,12
867,Runerigus,5
868,Milcery,1
869,Alcremie,5
870,Falinks,11
871,Pincurchin,10
872,Snom,2
873,Frosmoth,13
874,Stonjourner,7
875,Eiscue,6
876,Indeedee,6
877,Morpeko,12
878,Cufant,8
879,Copperajah,8
880,Dracozolt,6
881,Arctozolt,6
882,Dracovish,7
883,Arctovish,3
884,Duraludon,6
885,Dreepy,2
886,Drakloak,4
887,Dragapult,6
888,Zacian,8
889,Zamazenta,8
890,Eternatus,9
891,Kubfu,6
892,Urshifu,12
893,Zarude,6
894,Regieleki,12
895,Regidrago,12
896,Glastrier,8
897,Spectrier,8
898,Calyrex,12
899,Wyrdeer,8
900,Kleavor,13
901,Ursaluna,8
902,Basculegion,3
903,Sneasler,12
904,Overqwil,3
905,Enamorus,4
906,Sprigatito,8
907,Floragato,6
908,Meowscarada,6
909,Fuecoco,6
910,Crocalor,6
911,Skeledirge,8
912,Quaxly,6
913,Quaxwell,6
914,Quaquaval,6
915,Lechonk,8
916,Oinkologne,8
917,Tarountula,14
918,Spidops,14
919,Nymble,14
920,Lokix,12
921,Pawmi,8
922,Pawmo,6
923,Pawmot,6
924,Tandemaus,11
925,Maushold,11
926,Fidough,8
927,Dachsbun,8
928,Smoliv,7
929,Dolliv,12
930,Arboliva,12
931,Squawkabilly,9
932,Nacli,1
933,Naclstack,8
934,Garganacl,12
935,Charcadet,12
936,Armarouge,12
937,Ceruledge,12
938,Tadbulb,1
939,Bellibolt,12
940,Wattrel,9
941,Kilowattrel,9
942,Maschiff,8
943,Mabosstiff,8
944,Shroodle,8
945,Grafaiai,6
946,Bramblin,1
947,Brambleghast,1
948,Toedscool,7
949,Toedscruel,10
950,Klawf,14
951,Capsakid,6
952,Scovillain,6
953,Rellor,14
954,Rabsca,14
955,Flittle,7
956,Espathra,6
957,Tinkatink,12
958,Tinkatuff,12
959,Tinkaton,12
960,Wiglett,5
961,Wugtrio,5
962,Bombirdier,9
963,Finizen,3
964,Palafin,3
965,Varoom,7
966,Revavroom,7
967,Cyclizar,8
968,Orthworm,2
969,Glimmet,1
970,Glimmora,1
971,Greavard,8
972,Houndstone,8
973,Flamigo,9
974,Cetoddle,6
975,Cetitan,6
976,Veluza,3
977,Dondozo,3
978,Tatsugiri,3
979,Annihilape,12
980,Clodsire,8
981,Farigiraf,8
982,Dudunsparce,2
983,Kingambit,12
984,Great Tusk,8
985,Scream Tail,6
986,Brute Bonnet,8
987,Flutter Mane,9
988,Slither Wing,8
989,Sandy Shocks,8
990,Iron Treads,8
991,Iron Bundle,6
992,Iron Hands,12
993,Iron Jugulis,6
994,Iron Moth,13
995,Iron Thorns,6
996,Frigibax,6
997,Arctibax,6
998,Baxcalibur,6
999,Gimmighoul,5
1000,Gholdengo,12
1001,Wo-Chien,2
1002,Chien-Pao,8
1003,Ting-Lu,8
1004,Chi-Yu,3
1005,Roaring Moon,8
1006,Iron Valiant,12
1007,Koraidon,6
1008,Miraidon,8
1009,Walking Wake,6
1010,Iron Leaves,8
1011,Dipplin,11
1012,Poltchageist,1
1013,Sinistcha,1
1014,Okidogi,6
1015,Munkidori,12
1016,Fezandipiti,9
1017,Ogerpon,12
1018,Archaludon,6
1019,Hydrapple,11
1020,Gouging Fire,8
1021,Raging Bolt,8
1022,Iron Boulder,8
1023,Iron Crown,8
1024,Terapagos,8
1025,Pecharunt,1
